Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S03E08.srt,Dark,Dark S03,Dark E08,4,"0:1:1,167","0:1:3,583",Jede Reise hat einen Anfang.,jede reise hat einen anfang.,"['einen', 'jede', 'anfang', 'reise', 'hat']","['Jede', 'Reise', 'hat', 'einen', 'Anfang']","['Jede', 'Reise', 'hat', 'einen', 'Anfang', '.']","['jed', 'Reise', 'haben', 'ein', 'Anfang', '.']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']",jed Reise haben ein Anfang .,DET NOUN VERB DET NOUN PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,5,"0:1:13,167","0:1:15,250",Aber deine hat kein Ende.,aber deine hat kein ende.,"['kein', 'aber', 'deine', 'hat', 'ende']","['Aber', 'deine', 'hat', 'kein', 'Ende']","['Aber', 'deine', 'hat', 'kein', 'Ende', '.']","['aber', 'mein', 'haben', 'kein', 'Ende', '.']","['CCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']",aber mein haben kein Ende .,CCONJ PRON VERB DET NOUN PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,6,"0:1:18,458","0:1:20,583",Sie besteht auf immer fort.,sie besteht auf immer fort.,"['sie', 'immer', 'fort', 'besteht', 'auf']","['Sie', 'besteht', 'auf', 'immer', 'fort']","['Sie', 'besteht', 'auf', 'immer', 'fort', '.']","['ich', 'bestehen', 'auf', 'immer', 'fort', '.']","['PRON', 'VERB', 'ADP', 'ADV', 'ADV', 'PUNCT']",ich bestehen auf immer fort .,PRON VERB ADP ADV ADV PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,7,"0:1:26,208","0:1:30,83","Ich bin hier, damit deine Reise endlich ein Ende findet.","ich bin hier, damit deine reise endlich ein ende findet.","['endlich', 'bin', 'ein', 'hier', 'reise', 'damit', 'deine', 'ich', 'ende', 'findet']","['Ich', 'bin', 'hier', 'damit', 'deine', 'Reise', 'endlich', 'ein', 'Ende', 'findet']","['Ich', 'bin', 'hier', ',', 'damit', 'deine', 'Reise', 'endlich', 'ein', 'Ende', 'findet', '.']","['Ich', 'sein', 'hier', ',', 'damit', 'mein', 'Reise', 'endlich', 'einen', 'Ende', 'finden', '.']","['PRON', 'AUX', 'ADV', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT']","Ich sein hier , damit mein Reise endlich einen Ende finden .",PRON AUX ADV PUNCT SCONJ DET NOUN ADV DET NOUN VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,8,"0:1:35,542","0:1:37,333",Das ist unmöglich.,das ist unmöglich.,"['unmöglich', 'ist', 'das']","['Das', 'ist', 'unmöglich']","['Das', 'ist', 'unmöglich', '.']","['der', 'sein', 'unmöglich', '.']","['PRON', 'AUX', 'ADV', 'PUNCT']",der sein unmöglich .,PRON AUX ADV PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,9,"0:1:40,917","0:1:42,417",Du bist tot.,du bist tot.,"['du', 'tot', 'bist']","['Du', 'bist', 'tot']","['Du', 'bist', 'tot', '.']","['Du', 'sein', 'tot', '.']","['PRON', 'AUX', 'ADV', 'PUNCT']",Du sein tot .,PRON AUX ADV PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,10,"0:1:44,667","0:1:46,375",Ich habe dich töten lassen.,ich habe dich töten lassen.,"['dich', 'lassen', 'habe', 'ich', 'töten']","['Ich', 'habe', 'dich', 'töten', 'lassen']","['Ich', 'habe', 'dich', 'töten', 'lassen', '.']","['Ich', 'habe', 'sich', 'töten', 'lassen', '.']","['PRON', 'AUX', 'PRON', 'VERB', 'VERB', 'PUNCT']",Ich habe sich töten lassen .,PRON AUX PRON VERB VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,11,"0:1:47,292","0:1:50,500","Du hast immer noch keine Ahnung, wie dieses Spiel gespielt wird.","du hast immer noch keine ahnung, wie dieses spiel gespielt wird.","['keine', 'spiel', 'gespielt', 'du', 'immer', 'ahnung', 'wie', 'dieses', 'wird', 'hast', 'noch']","['Du', 'hast', 'immer', 'noch', 'keine', 'Ahnung', 'wie', 'dieses', 'Spiel', 'gespielt', 'wird']","['Du', 'hast', 'immer', 'noch', 'keine', 'Ahnung', ',', 'wie', 'dieses', 'Spiel', 'gespielt', 'wird', '.']","['Du', 'haben', 'immer', 'noch', 'kein', 'Ahnung', ',', 'wie', 'dies', 'Spiel', 'spielen', 'werden', '.']","['PRON', 'AUX', 'ADV', 'ADV', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'VERB', 'AUX', 'PUNCT']","Du haben immer noch kein Ahnung , wie dies Spiel spielen werden .",PRON AUX ADV ADV DET NOUN PUNCT SCONJ DET NOUN VERB AUX PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,12,"0:1:51,875","0:1:54,458",Du willst diesen Knoten zerstören.,du willst diesen knoten zerstören.,"['du', 'willst', 'knoten', 'diesen', 'zerstören']","['Du', 'willst', 'diesen', 'Knoten', 'zerstören']","['Du', 'willst', 'diesen', 'Knoten', 'zerstören', '.']","['Du', 'wollen', 'dies', 'Knoten', 'zerstören', '.']","['PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']",Du wollen dies Knoten zerstören .,PRON VERB DET NOUN VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,13,"0:1:55,333","0:1:58,667","Aber jeder Schritt, den du tust, führt dazu, ihn zu erhalten.","aber jeder schritt, den du tust, führt dazu, ihn zu erhalten.","['tust', 'du', 'zu', 'aber', 'führt', 'den', 'dazu', 'ihn', 'erhalten', 'schritt', 'jeder']","['Aber', 'jeder', 'Schritt', 'den', 'du', 'tust', 'führt', 'dazu', 'ihn', 'zu', 'erhalten']","['Aber', 'jeder', 'Schritt', ',', 'den', 'du', 'tust', ',', 'führt', 'dazu', ',', 'ihn', 'zu', 'erhalten', '.']","['aber', 'jed', 'Schritt', ',', 'der', 'du', 'tun', ',', 'führen', 'dazu', ',', 'ich', 'zu', 'erhalten', '.']","['CCONJ', 'DET', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'VERB', 'PUNCT', 'VERB', 'ADV', 'PUNCT', 'PRON', 'PART', 'VERB', 'PUNCT']","aber jed Schritt , der du tun , führen dazu , ich zu erhalten .",CCONJ DET NOUN PUNCT PRON PRON VERB PUNCT VERB ADV PUNCT PRON PART VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,14,"0:2:0,167","0:2:1,583",Das kann nicht sein.,das kann nicht sein.,"['sein', 'nicht', 'kann', 'das']","['Das', 'kann', 'nicht', 'sein']","['Das', 'kann', 'nicht', 'sein', '.']","['der', 'können', 'nicht', 'mein', '.']","['PRON', 'AUX', 'PART', 'AUX', 'PUNCT']",der können nicht mein .,PRON AUX PART AUX PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,15,"0:2:7,208","0:2:8,792",Ich habe ihn getötet.,ich habe ihn getötet.,"['ihn', 'getötet', 'ich', 'habe']","['Ich', 'habe', 'ihn', 'getötet']","['Ich', 'habe', 'ihn', 'getötet', '.']","['Ich', 'habe', 'ich', 'töten', '.']","['PRON', 'AUX', 'PRON', 'VERB', 'PUNCT']",Ich habe ich töten .,PRON AUX PRON VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,16,"0:2:11,83","0:2:14,375",Ich habe Martha und den Ursprung getötet.,ich habe martha und den ursprung getötet.,"['ursprung', 'getötet', 'martha', 'den', 'habe', 'und', 'ich']","['Ich', 'habe', 'Martha', 'und', 'den', 'Ursprung', 'getötet']","['Ich', 'habe', 'Martha', 'und', 'den', 'Ursprung', 'getötet', '.']","['Ich', 'habe', 'Martha', 'und', 'der', 'Ursprung', 'töten', '.']","['PRON', 'AUX', 'PROPN', 'CCONJ', 'DET', 'NOUN', 'VERB', 'PUNCT']",Ich habe Martha und der Ursprung töten .,PRON AUX PROPN CCONJ DET NOUN VERB PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,17,"0:2:20,375","0:2:22,208","Deine Welt und Evas Welt,","deine welt und evas welt,","['deine', 'welt', 'und', 'evas']","['Deine', 'Welt', 'und', 'Evas', 'Welt']","['Deine', 'Welt', 'und', 'Evas', 'Welt', ',']","['mein', 'Welt', 'und', 'Eva', 'Welt', ',']","['PROPN', 'NOUN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT']","mein Welt und Eva Welt ,",PROPN NOUN CCONJ PROPN NOUN PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,18,"0:2:23,583","0:2:26,333",sie beide hätten nie existieren dürfen.,sie beide hätten nie existieren dürfen.,"['sie', 'hätten', 'nie', 'beide', 'dürfen', 'existieren']","['sie', 'beide', 'hätten', 'nie', 'existieren', 'dürfen']","['sie', 'beide', 'hätten', 'nie', 'existieren', 'dürfen', '.']","['ich', 'beid', 'haben', 'nie', 'existieren', 'dürfen', '.']","['PRON', 'PRON', 'AUX', 'ADV', 'VERB', 'AUX', 'PUNCT']",ich beid haben nie existieren dürfen .,PRON PRON AUX ADV VERB AUX PUNCT
Dark__S03E08.srt,Dark,Dark S03,Dark E08,19,"0:2:30,917","0:2:35,42","Du hast gedacht, der Ursprung liegt in der Verbindung der beiden Welten.","du hast gedacht, der ursprung liegt in der verbindung der beiden welten.","['ursprung', 'du', 'der', 'welten', 'gedacht', 'hast', 'liegt', 'in', 'beiden', 'verbindung']","['Du', 'hast', 'gedacht', 'der', 'Ursprung', 'liegt', 'in', 'der', 'Verbindung', 'der', 'beiden', 'Welten']","['Du', 'hast', 'gedacht', ',', 'der', 'Ursprung', 'liegt', 'in', 'der', 'Verbindung', 'der', 'beiden', 'Welten', '.']","['Du', 'haben', 'gedenken', ',', 'der', 'Ursprung', 'liegen', 'in', 'der', 'Verbindung', 'der', 'beid', 'Welt', '.']","['PRON', 'AUX', 'VERB', 'PUNCT', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'DET', 'NOUN', 'PUNCT']","Du haben gedenken , der Ursprung liegen in der Verbindung der beid Welt .",PRON AUX VERB PUNCT DET NOUN VERB ADP DET NOUN DET DET NOUN PUNCT
