Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S02E04.srt,Dark,Dark S02,Dark E04,4,"0:1:9,630","0:1:10,838",Hey!,hey!,['hey'],['Hey'],"['Hey', '!']","['Hey', '!']","['PROPN', 'PUNCT']",Hey !,PROPN PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,5,"0:1:12,463","0:1:14,213",Was ist denn mit dem passiert?,was ist denn mit dem passiert?,"['dem', 'was', 'ist', 'passiert', 'denn', 'mit']","['Was', 'ist', 'denn', 'mit', 'dem', 'passiert']","['Was', 'ist', 'denn', 'mit', 'dem', 'passiert', '?']","['Was', 'sein', 'denn', 'mit', 'der', 'passieren', '?']","['PRON', 'AUX', 'ADV', 'ADP', 'PRON', 'VERB', 'PUNCT']",Was sein denn mit der passieren ?,PRON AUX ADV ADP PRON VERB PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,6,"0:1:23,963","0:1:26,880",Woher hast du das? Und was willst du hier?,woher hast du das? und was willst du hier?,"['was', 'das', 'du', 'willst', 'hier', 'woher', 'hast', 'und']","['Woher', 'hast', 'du', 'das', 'Und', 'was', 'willst', 'du', 'hier']","['Woher', 'hast', 'du', 'das', '?', 'Und', 'was', 'willst', 'du', 'hier', '?']","['Woher', 'haben', 'du', 'der', '?', 'und', 'was', 'wollen', 'du', 'hier', '?']","['ADV', 'AUX', 'PRON', 'PRON', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'PRON', 'ADV', 'PUNCT']",Woher haben du der ? und was wollen du hier ?,ADV AUX PRON PRON PUNCT CCONJ PRON VERB PRON ADV PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,7,"0:1:30,380","0:1:31,963",Ich will nur nach Hause.,ich will nur nach hause.,"['nur', 'hause', 'ich', 'will', 'nach']","['Ich', 'will', 'nur', 'nach', 'Hause']","['Ich', 'will', 'nur', 'nach', 'Hause', '.']","['Ich', 'wollen', 'nur', 'nach', 'Haus', '.']","['PRON', 'AUX', 'ADV', 'ADP', 'NOUN', 'PUNCT']",Ich wollen nur nach Haus .,PRON AUX ADV ADP NOUN PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,8,"0:1:33,338","0:1:35,380",Vielleicht ist er ein Heimkehrer.,vielleicht ist er ein heimkehrer.,"['heimkehrer', 'ist', 'ein', 'vielleicht', 'er']","['Vielleicht', 'ist', 'er', 'ein', 'Heimkehrer']","['Vielleicht', 'ist', 'er', 'ein', 'Heimkehrer', '.']","['Vielleicht', 'sein', 'ich', 'einen', 'Heimkehrer', '.']","['ADV', 'AUX', 'PRON', 'DET', 'NOUN', 'PUNCT']",Vielleicht sein ich einen Heimkehrer .,ADV AUX PRON DET NOUN PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,9,"0:1:44,755","0:1:47,380","Siehst aus, als hätte man dir übel mitgespielt.","siehst aus, als hätte man dir übel mitgespielt.","['siehst', 'hätte', 'mitgespielt', 'aus', 'übel', 'man', 'als', 'dir']","['Siehst', 'aus', 'als', 'hätte', 'man', 'dir', 'übel', 'mitgespielt']","['Siehst', 'aus', ',', 'als', 'hätte', 'man', 'dir', 'übel', 'mitgespielt', '.']","['Siehst', 'aus', ',', 'als', 'haben', 'man', 'sich', 'übel', 'mitspielen', '.']","['PROPN', 'ADP', 'PUNCT', 'SCONJ', 'AUX', 'PRON', 'PRON', 'ADV', 'VERB', 'PUNCT']","Siehst aus , als haben man sich übel mitspielen .",PROPN ADP PUNCT SCONJ AUX PRON PRON ADV VERB PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,10,"0:1:48,88","0:1:50,422",Könnte was zu essen vertragen. Mhm.,könnte was zu essen vertragen. mhm.,"['vertragen', 'was', 'mhm', 'essen', 'könnte', 'zu']","['Könnte', 'was', 'zu', 'essen', 'vertragen', 'Mhm']","['Könnte', 'was', 'zu', 'essen', 'vertragen', '.', 'Mhm', '.']","['können', 'was', 'zu', 'essen', 'vertragen', '.', 'Mhm', '.']","['AUX', 'PRON', 'PART', 'VERB', 'VERB', 'PUNCT', 'PROPN', 'PUNCT']",können was zu essen vertragen . Mhm .,AUX PRON PART VERB VERB PUNCT PROPN PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,11,"0:1:50,505","0:1:52,588","Das passt schon, danke.  Unsinn.","das passt schon, danke.  unsinn.","['das', 'schon', 'danke', 'unsinn', 'passt']","['Das', 'passt', 'schon', 'danke', 'Unsinn']","['Das', 'passt', 'schon', ',', 'danke', '.', ' ', 'Unsinn', '.']","['der', 'passt', 'schon', ',', 'danke', '.', ' ', 'Unsinn', '.']","['PRON', 'ADV', 'ADV', 'PUNCT', 'VERB', 'PUNCT', 'SPACE', 'NOUN', 'PUNCT']","der passt schon , danke .   Unsinn .",PRON ADV ADV PUNCT VERB PUNCT SPACE NOUN PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,12,"0:1:52,672","0:1:55,838",Die Erna hat ein Herz für so welche wie dich. Komm.,die erna hat ein herz für so welche wie dich. komm.,"['herz', 'für', 'so', 'welche', 'erna', 'ein', 'wie', 'die', 'dich', 'komm', 'hat']","['Die', 'Erna', 'hat', 'ein', 'Herz', 'für', 'so', 'welche', 'wie', 'dich', 'Komm']","['Die', 'Erna', 'hat', 'ein', 'Herz', 'für', 'so', 'welche', 'wie', 'dich', '.', 'Komm', '.']","['der', 'Erna', 'haben', 'einen', 'Herz', 'für', 'so', 'welch', 'wie', 'sich', '.', 'Komm', '.']","['DET', 'PROPN', 'AUX', 'DET', 'NOUN', 'ADP', 'ADV', 'DET', 'ADP', 'PRON', 'PUNCT', 'VERB', 'PUNCT']",der Erna haben einen Herz für so welch wie sich . Komm .,DET PROPN AUX DET NOUN ADP ADV DET ADP PRON PUNCT VERB PUNCT
Dark__S02E04.srt,Dark,Dark S02,Dark E04,18,"0:3:0,922","0:3:3,130","Agnes, geh und sag Erna Bescheid.","agnes, geh und sag erna bescheid.","['sag', 'bescheid', 'erna', 'geh', 'agnes', 'und']","['Agnes', 'geh', 'und', 'sag', 'Erna', 'Bescheid']","['Agnes', ',', 'geh', 'und', 'sag', 'Erna', 'Bescheid', '.']","['Agnes', ',', 'geh', 'und', 'sag', 'Erna', 'Bescheid', '.']","['PROPN', 'PUNCT', 'X', 'CCONJ', 'ADV', 'ADP', 'NOUN', 'PUNCT']","Agnes , geh und sag Erna Bescheid .",PROPN PUNCT X CCONJ ADV ADP NOUN PUNCT
