Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S01E04.srt,Dark,Dark S01,Dark E04,1,"0:0:8,833","0:0:14,917",Schwarze Löcher gelten als die Höllenschlunde des Universums.,schwarze löcher gelten als die höllenschlunde des universums.,"['des', 'die', 'höllenschlunde', 'als', 'universums', 'löcher', 'gelten', 'schwarze']","['Schwarze', 'Löcher', 'gelten', 'als', 'die', 'Höllenschlunde', 'des', 'Universums']","['Schwarze', 'Löcher', 'gelten', 'als', 'die', 'Höllenschlunde', 'des', 'Universums', '.']","['Schwarze', 'Loch', 'gelten', 'als', 'der', 'Höllenschlunde', 'der', 'Universums', '.']","['ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']",Schwarze Loch gelten als der Höllenschlunde der Universums .,ADJ NOUN VERB ADP DET NOUN DET NOUN PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,2,"0:0:15,625","0:0:19,708","Wer hineinfällt, verschwindet.","wer hineinfällt, verschwindet.","['verschwindet', 'hineinfällt', 'wer']","['Wer', 'hineinfällt', 'verschwindet']","['Wer', 'hineinfällt', ',', 'verschwindet', '.']","['Wer', 'hineinfällt', ',', 'verschwinden', '.']","['PRON', 'VERB', 'PUNCT', 'VERB', 'PUNCT']","Wer hineinfällt , verschwinden .",PRON VERB PUNCT VERB PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,3,"0:0:19,792","0:0:21,458",Für immer.,für immer.,"['immer', 'für']","['Für', 'immer']","['Für', 'immer', '.']","['Für', 'immer', '.']","['ADP', 'ADV', 'PUNCT']",Für immer .,ADP ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,4,"0:0:25,0","0:0:26,625",Aber wohin?,aber wohin?,"['wohin', 'aber']","['Aber', 'wohin']","['Aber', 'wohin', '?']","['aber', 'wohin', '?']","['CCONJ', 'ADV', 'PUNCT']",aber wohin ?,CCONJ ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,5,"0:0:28,83","0:0:31,583",Was liegt hinter einem schwarzen Loch?,was liegt hinter einem schwarzen loch?,"['schwarzen', 'hinter', 'was', 'loch', 'liegt', 'einem']","['Was', 'liegt', 'hinter', 'einem', 'schwarzen', 'Loch']","['Was', 'liegt', 'hinter', 'einem', 'schwarzen', 'Loch', '?']","['Was', 'liegen', 'hinter', 'einer', 'schwarz', 'Loch', '?']","['PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",Was liegen hinter einer schwarz Loch ?,PRON VERB ADP DET ADJ NOUN PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,6,"0:0:32,375","0:0:37,375",Verschwinden dort mit den Dingen auch Raum und Zeit?,verschwinden dort mit den dingen auch raum und zeit?,"['verschwinden', 'zeit', 'auch', 'dingen', 'raum', 'den', 'und', 'mit', 'dort']","['Verschwinden', 'dort', 'mit', 'den', 'Dingen', 'auch', 'Raum', 'und', 'Zeit']","['Verschwinden', 'dort', 'mit', 'den', 'Dingen', 'auch', 'Raum', 'und', 'Zeit', '?']","['Verschwinden', 'dort', 'mit', 'der', 'Ding', 'auch', 'Raum', 'und', 'Zeit', '?']","['NOUN', 'ADV', 'ADP', 'DET', 'NOUN', 'ADV', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",Verschwinden dort mit der Ding auch Raum und Zeit ?,NOUN ADV ADP DET NOUN ADV NOUN CCONJ NOUN PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,7,"0:0:37,458","0:0:40,375",Oder wären Raum und Zeit,oder wären raum und zeit,"['zeit', 'oder', 'raum', 'wären', 'und']","['Oder', 'wären', 'Raum', 'und', 'Zeit']","['Oder', 'wären', 'Raum', 'und', 'Zeit']","['Oder', 'sein', 'Raum', 'und', 'Zeit']","['CCONJ', 'AUX', 'NOUN', 'CCONJ', 'NOUN']",Oder sein Raum und Zeit,CCONJ AUX NOUN CCONJ NOUN
Dark__S01E04.srt,Dark,Dark S01,Dark E04,8,"0:0:40,458","0:0:44,292",in einem ewigen Kreis miteinander verbunden?,in einem ewigen kreis miteinander verbunden?,"['ewigen', 'verbunden', 'kreis', 'in', 'miteinander', 'einem']","['in', 'einem', 'ewigen', 'Kreis', 'miteinander', 'verbunden']","['in', 'einem', 'ewigen', 'Kreis', 'miteinander', 'verbunden', '?']","['in', 'einer', 'ewig', 'Kreis', 'miteinander', 'verbinden', '?']","['ADP', 'DET', 'ADJ', 'NOUN', 'ADV', 'VERB', 'PUNCT']",in einer ewig Kreis miteinander verbinden ?,ADP DET ADJ NOUN ADV VERB PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,9,"0:0:44,833","0:0:48,333","Und was, wenn das, was aus der Vergangenheit kommt,","und was, wenn das, was aus der vergangenheit kommt,","['was', 'das', 'vergangenheit', 'der', 'wenn', 'kommt', 'aus', 'und']","['Und', 'was', 'wenn', 'das', 'was', 'aus', 'der', 'Vergangenheit', 'kommt']","['Und', 'was', ',', 'wenn', 'das', ',', 'was', 'aus', 'der', 'Vergangenheit', 'kommt', ',']","['und', 'was', ',', 'wenn', 'der', ',', 'was', 'aus', 'der', 'Vergangenheit', 'kommen', ',']","['CCONJ', 'PRON', 'PUNCT', 'SCONJ', 'PRON', 'PUNCT', 'PRON', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']","und was , wenn der , was aus der Vergangenheit kommen ,",CCONJ PRON PUNCT SCONJ PRON PUNCT PRON ADP DET NOUN VERB PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,10,"0:0:49,42","0:0:52,875",durch die Zukunft beeinflusst wäre?,durch die zukunft beeinflusst wäre?,"['zukunft', 'die', 'durch', 'wäre', 'beeinflusst']","['durch', 'die', 'Zukunft', 'beeinflusst', 'wäre']","['durch', 'die', 'Zukunft', 'beeinflusst', 'wäre', '?']","['durch', 'der', 'Zukunft', 'beeinflusst', 'sein', '?']","['ADP', 'DET', 'NOUN', 'VERB', 'AUX', 'PUNCT']",durch der Zukunft beeinflusst sein ?,ADP DET NOUN VERB AUX PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,11,"0:0:54,42","0:0:55,917","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,12,"0:0:56,0","0:0:57,500","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,13,"0:0:58,83","0:0:59,792","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,14,"0:0:59,875","0:1:1,83","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,15,"0:1:1,833","0:1:2,833","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
Dark__S01E04.srt,Dark,Dark S01,Dark E04,16,"0:1:3,875","0:1:5,292","Tick, tack.","tick, tack.","['tack', 'tick']","['Tick', 'tack']","['Tick', ',', 'tack', '.']","['Tick', ',', 'tack', '.']","['NOUN', 'PUNCT', 'ADV', 'PUNCT']","Tick , tack .",NOUN PUNCT ADV PUNCT
