Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S03E06.srt,Dark,Dark S03,Dark E06,3,"0:0:22,625","0:0:25,917",Ich versprech's dir. Ich mach das wieder gut.,ich versprech's dir. ich mach das wieder gut.,"['mach', 'das', 'gut', 'dir', 'wieder', ""versprech's"", 'ich']","['Ich', ""versprech's"", 'dir', 'Ich', 'mach', 'das', 'wieder', 'gut']","['Ich', ""versprech's"", 'dir', '.', 'Ich', 'mach', 'das', 'wieder', 'gut', '.']","['Ich', ""versprech's"", 'sich', '.', 'Ich', 'mach', 'der', 'wieder', 'gut', '.']","['PRON', 'VERB', 'PRON', 'PUNCT', 'PRON', 'VERB', 'PRON', 'ADV', 'ADV', 'PUNCT']",Ich versprech's sich . Ich mach der wieder gut .,PRON VERB PRON PUNCT PRON VERB PRON ADV ADV PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,9,"0:1:29,42","0:1:30,458","Lieber Jonas,","lieber jonas,","['lieber', 'jonas']","['Lieber', 'Jonas']","['Lieber', 'Jonas', ',']","['Lieber', 'Jonas', ',']","['NOUN', 'PROPN', 'PUNCT']","Lieber Jonas ,",NOUN PROPN PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,10,"0:1:31,542","0:1:34,458","du hast versprochen, das alles wiedergutzumachen.","du hast versprochen, das alles wiedergutzumachen.","['das', 'versprochen', 'du', 'hast', 'alles', 'wiedergutzumachen']","['du', 'hast', 'versprochen', 'das', 'alles', 'wiedergutzumachen']","['du', 'hast', 'versprochen', ',', 'das', 'alles', 'wiedergutzumachen', '.']","['du', 'haben', 'versprechen', ',', 'der', 'alle', 'wiedergutzumachen', '.']","['PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'PRON', 'VERB', 'PUNCT']","du haben versprechen , der alle wiedergutzumachen .",PRON AUX VERB PUNCT PRON PRON VERB PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,12,"0:1:36,375","0:1:38,542","Ich will, dass du weißt, dass du das wirst.","ich will, dass du weißt, dass du das wirst.","['das', 'du', 'weißt', 'dass', 'will', 'wirst', 'ich']","['Ich', 'will', 'dass', 'du', 'weißt', 'dass', 'du', 'das', 'wirst']","['Ich', 'will', ',', 'dass', 'du', 'weißt', ',', 'dass', 'du', 'das', 'wirst', '.']","['Ich', 'wollen', ',', 'dass', 'du', 'wissen', ',', 'dass', 'du', 'der', 'werden', '.']","['PRON', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'AUX', 'PUNCT']","Ich wollen , dass du wissen , dass du der werden .",PRON VERB PUNCT SCONJ PRON VERB PUNCT SCONJ PRON PRON AUX PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,13,"0:1:40,750","0:1:42,500","Verlier niemals die Hoffnung,","verlier niemals die hoffnung,","['hoffnung', 'verlier', 'die', 'niemals']","['Verlier', 'niemals', 'die', 'Hoffnung']","['Verlier', 'niemals', 'die', 'Hoffnung', ',']","['Verlier', 'niemals', 'der', 'Hoffnung', ',']","['NOUN', 'ADV', 'DET', 'NOUN', 'PUNCT']","Verlier niemals der Hoffnung ,",NOUN ADV DET NOUN PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,14,"0:1:42,583","0:1:44,750",dass es einen Weg aus diesem Labyrinth gibt.,dass es einen weg aus diesem labyrinth gibt.,"['weg', 'diesem', 'einen', 'aus', 'dass', 'labyrinth', 'gibt', 'es']","['dass', 'es', 'einen', 'Weg', 'aus', 'diesem', 'Labyrinth', 'gibt']","['dass', 'es', 'einen', 'Weg', 'aus', 'diesem', 'Labyrinth', 'gibt', '.']","['dass', 'ich', 'ein', 'Weg', 'aus', 'dies', 'Labyrinth', 'geben', '.']","['SCONJ', 'PRON', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']",dass ich ein Weg aus dies Labyrinth geben .,SCONJ PRON DET NOUN ADP DET NOUN VERB PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,15,"0:1:46,292","0:1:48,0","Einen Weg, mich zu retten...","einen weg, mich zu retten...","['mich', 'weg', 'einen', 'zu', 'retten']","['Einen', 'Weg', 'mich', 'zu', 'retten']","['Einen', 'Weg', ',', 'mich', 'zu', 'retten', '...']","['einer', 'Weg', ',', 'sich', 'zu', 'retten', '...']","['DET', 'NOUN', 'PUNCT', 'PRON', 'PART', 'VERB', 'PUNCT']","einer Weg , sich zu retten ...",DET NOUN PUNCT PRON PART VERB PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,16,"0:1:49,167","0:1:50,458",...und dich.,...und dich.,"['und', 'dich']","['und', 'dich']","['...', 'und', 'dich', '.']","['...', 'und', 'sich', '.']","['PUNCT', 'CCONJ', 'PRON', 'PUNCT']",... und sich .,PUNCT CCONJ PRON PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,17,"0:2:0,375","0:2:2,417",Doch dafür müssen wir Opfer bringen.,doch dafür müssen wir opfer bringen.,"['doch', 'opfer', 'müssen', 'wir', 'dafür', 'bringen']","['Doch', 'dafür', 'müssen', 'wir', 'Opfer', 'bringen']","['Doch', 'dafür', 'müssen', 'wir', 'Opfer', 'bringen', '.']","['doch', 'dafür', 'müssen', 'ich', 'Opfer', 'bringen', '.']","['CCONJ', 'ADV', 'AUX', 'PRON', 'NOUN', 'VERB', 'PUNCT']",doch dafür müssen ich Opfer bringen .,CCONJ ADV AUX PRON NOUN VERB PUNCT
Dark__S03E06.srt,Dark,Dark S03,Dark E06,18,"0:2:4,917","0:2:7,167",Und unvorstellbare Dinge tun.,und unvorstellbare dinge tun.,"['dinge', 'und', 'unvorstellbare', 'tun']","['Und', 'unvorstellbare', 'Dinge', 'tun']","['Und', 'unvorstellbare', 'Dinge', 'tun', '.']","['und', 'unvorstellbar', 'Ding', 'tun', '.']","['CCONJ', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",und unvorstellbar Ding tun .,CCONJ ADJ NOUN VERB PUNCT
