Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S02E02.srt,Dark,Dark S02,Dark E02,1,"0:0:7,125","0:0:9,125",Wir konnten das Gottesteilchen,wir konnten das gottesteilchen,"['gottesteilchen', 'konnten', 'wir', 'das']","['Wir', 'konnten', 'das', 'Gottesteilchen']","['Wir', 'konnten', 'das', 'Gottesteilchen']","['ich', 'können', 'der', 'Gottesteilchen']","['PRON', 'AUX', 'DET', 'NOUN']",ich können der Gottesteilchen,PRON AUX DET NOUN
Dark__S02E02.srt,Dark,Dark S02,Dark E02,2,"0:0:9,208","0:0:11,958",und die aus ihm resultierende Masse stabilisieren.,und die aus ihm resultierende masse stabilisieren.,"['stabilisieren', 'resultierende', 'aus', 'die', 'und', 'masse', 'ihm']","['und', 'die', 'aus', 'ihm', 'resultierende', 'Masse', 'stabilisieren']","['und', 'die', 'aus', 'ihm', 'resultierende', 'Masse', 'stabilisieren', '.']","['und', 'der', 'aus', 'ich', 'resultierend', 'Masse', 'stabilisieren', '.']","['CCONJ', 'DET', 'ADP', 'PRON', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",und der aus ich resultierend Masse stabilisieren .,CCONJ DET ADP PRON ADJ NOUN VERB PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,3,"0:0:12,875","0:0:15,917","Im stabilen Zustand entsteht dabei eine Art Portal,","im stabilen zustand entsteht dabei eine art portal,","['portal', 'im', 'eine', 'dabei', 'art', 'entsteht', 'stabilen', 'zustand']","['Im', 'stabilen', 'Zustand', 'entsteht', 'dabei', 'eine', 'Art', 'Portal']","['Im', 'stabilen', 'Zustand', 'entsteht', 'dabei', 'eine', 'Art', 'Portal', ',']","['Im', 'stabil', 'Zustand', 'entstehen', 'dabei', 'einen', 'Art', 'Portal', ',']","['ADP', 'ADJ', 'NOUN', 'VERB', 'ADV', 'DET', 'NOUN', 'NOUN', 'PUNCT']","Im stabil Zustand entstehen dabei einen Art Portal ,",ADP ADJ NOUN VERB ADV DET NOUN NOUN PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,4,"0:0:16,0","0:0:19,292",welches möglicherweise das Reisen durch die Zeit erlaubt.,welches möglicherweise das reisen durch die zeit erlaubt.,"['zeit', 'reisen', 'erlaubt', 'das', 'möglicherweise', 'die', 'durch', 'welches']","['welches', 'möglicherweise', 'das', 'Reisen', 'durch', 'die', 'Zeit', 'erlaubt']","['welches', 'möglicherweise', 'das', 'Reisen', 'durch', 'die', 'Zeit', 'erlaubt', '.']","['welch', 'möglicherweise', 'der', 'Reise', 'durch', 'der', 'Zeit', 'erlauben', '.']","['PRON', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']",welch möglicherweise der Reise durch der Zeit erlauben .,PRON ADV DET NOUN ADP DET NOUN VERB PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,5,"0:0:19,958","0:0:22,375","Wird genug Spannung auf die Materie ausgeübt,","wird genug spannung auf die materie ausgeübt,","['materie', 'die', 'wird', 'spannung', 'genug', 'ausgeübt', 'auf']","['Wird', 'genug', 'Spannung', 'auf', 'die', 'Materie', 'ausgeübt']","['Wird', 'genug', 'Spannung', 'auf', 'die', 'Materie', 'ausgeübt', ',']","['Wird', 'genug', 'Spannung', 'auf', 'der', 'Materie', 'ausüben', ',']","['AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']","Wird genug Spannung auf der Materie ausüben ,",AUX DET NOUN ADP DET NOUN VERB PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,6,"0:0:22,458","0:0:25,250",kann sie auch längerfristig stabil gehalten werden.,kann sie auch längerfristig stabil gehalten werden.,"['sie', 'auch', 'stabil', 'werden', 'längerfristig', 'kann', 'gehalten']","['kann', 'sie', 'auch', 'längerfristig', 'stabil', 'gehalten', 'werden']","['kann', 'sie', 'auch', 'längerfristig', 'stabil', 'gehalten', 'werden', '.']","['können', 'ich', 'auch', 'längerfristig', 'stabil', 'halten', 'werden', '.']","['AUX', 'PRON', 'ADV', 'ADV', 'ADV', 'VERB', 'AUX', 'PUNCT']",können ich auch längerfristig stabil halten werden .,AUX PRON ADV ADV ADV VERB AUX PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,7,"0:0:26,0","0:0:28,500",In einer Versuchsanordnung konnten Objekte bereits,in einer versuchsanordnung konnten objekte bereits,"['versuchsanordnung', 'objekte', 'bereits', 'einer', 'in', 'konnten']","['In', 'einer', 'Versuchsanordnung', 'konnten', 'Objekte', 'bereits']","['In', 'einer', 'Versuchsanordnung', 'konnten', 'Objekte', 'bereits']","['In', 'einer', 'Versuchsanordnung', 'können', 'Objekt', 'bereits']","['ADP', 'DET', 'NOUN', 'AUX', 'NOUN', 'ADV']",In einer Versuchsanordnung können Objekt bereits,ADP DET NOUN AUX NOUN ADV
Dark__S02E02.srt,Dark,Dark S02,Dark E02,8,"0:0:28,583","0:0:31,208",durch die stabilisierte Materie geschickt werden.,durch die stabilisierte materie geschickt werden.,"['geschickt', 'werden', 'die', 'durch', 'stabilisierte', 'materie']","['durch', 'die', 'stabilisierte', 'Materie', 'geschickt', 'werden']","['durch', 'die', 'stabilisierte', 'Materie', 'geschickt', 'werden', '.']","['durch', 'der', 'stabilisieren', 'Materie', 'schicken', 'werden', '.']","['ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']",durch der stabilisieren Materie schicken werden .,ADP DET ADJ NOUN VERB AUX PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,10,"0:0:41,958","0:0:45,42",Dabei muss ein Generator genügend Wechselstrom erzeugen.,dabei muss ein generator genügend wechselstrom erzeugen.,"['ein', 'muss', 'dabei', 'generator', 'erzeugen', 'genügend', 'wechselstrom']","['Dabei', 'muss', 'ein', 'Generator', 'genügend', 'Wechselstrom', 'erzeugen']","['Dabei', 'muss', 'ein', 'Generator', 'genügend', 'Wechselstrom', 'erzeugen', '.']","['Dabei', 'muss', 'einen', 'Generator', 'genügen', 'Wechselstrom', 'erzeugen', '.']","['ADV', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']",Dabei muss einen Generator genügen Wechselstrom erzeugen .,ADV VERB DET NOUN DET NOUN VERB PUNCT
Dark__S02E02.srt,Dark,Dark S02,Dark E02,11,"0:0:45,917","0:0:49,250","Auch nach längerer Beobachtung lässt sich nicht sagen,","auch nach längerer beobachtung lässt sich nicht sagen,","['längerer', 'auch', 'sich', 'sagen', 'beobachtung', 'nicht', 'nach', 'lässt']","['Auch', 'nach', 'längerer', 'Beobachtung', 'lässt', 'sich', 'nicht', 'sagen']","['Auch', 'nach', 'längerer', 'Beobachtung', 'lässt', 'sich', 'nicht', 'sagen', ',']","['Auch', 'nach', 'lang', 'Beobachtung', 'lässt', 'sich', 'nicht', 'sagen', ',']","['ADV', 'ADP', 'ADJ', 'NOUN', 'VERB', 'PRON', 'PART', 'VERB', 'PUNCT']","Auch nach lang Beobachtung lässt sich nicht sagen ,",ADV ADP ADJ NOUN VERB PRON PART VERB PUNCT
