Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S03E07.srt,Dark,Dark S03,Dark E07,1,"0:0:7,750","0:0:9,750",Was ist Realität?,was ist realität?,"['realität', 'was', 'ist']","['Was', 'ist', 'Realität']","['Was', 'ist', 'Realität', '?']","['Was', 'sein', 'Realität', '?']","['PRON', 'AUX', 'NOUN', 'PUNCT']",Was sein Realität ?,PRON AUX NOUN PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,2,"0:0:11,917","0:0:14,83",Gibt es davon nur eine einzige?,gibt es davon nur eine einzige?,"['nur', 'eine', 'einzige', 'davon', 'gibt', 'es']","['Gibt', 'es', 'davon', 'nur', 'eine', 'einzige']","['Gibt', 'es', 'davon', 'nur', 'eine', 'einzige', '?']","['Gibt', 'ich', 'davon', 'nur', 'einen', 'einzig', '?']","['VERB', 'PRON', 'ADV', 'ADV', 'DET', 'ADJ', 'PUNCT']",Gibt ich davon nur einen einzig ?,VERB PRON ADV ADV DET ADJ PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,3,"0:0:15,667","0:0:19,417",Oder existieren mehrere Realitäten nebeneinander?,oder existieren mehrere realitäten nebeneinander?,"['nebeneinander', 'oder', 'mehrere', 'realitäten', 'existieren']","['Oder', 'existieren', 'mehrere', 'Realitäten', 'nebeneinander']","['Oder', 'existieren', 'mehrere', 'Realitäten', 'nebeneinander', '?']","['Oder', 'existieren', 'mehrer', 'Realität', 'nebeneinander', '?']","['CCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT']",Oder existieren mehrer Realität nebeneinander ?,CCONJ VERB DET NOUN ADV PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,4,"0:0:21,167","0:0:23,792",Erwin Schrödinger hat für diese Frage,erwin schrödinger hat für diese frage,"['erwin', 'für', 'frage', 'diese', 'schrödinger', 'hat']","['Erwin', 'Schrödinger', 'hat', 'für', 'diese', 'Frage']","['Erwin', 'Schrödinger', 'hat', 'für', 'diese', 'Frage']","['Erwin', 'Schrödinger', 'haben', 'für', 'dies', 'Frage']","['PROPN', 'PROPN', 'AUX', 'ADP', 'DET', 'NOUN']",Erwin Schrödinger haben für dies Frage,PROPN PROPN AUX ADP DET NOUN
Dark__S03E07.srt,Dark,Dark S03,Dark E07,5,"0:0:23,875","0:0:27,125",ein überaus interessantes Gedankenexperiment konstruiert.,ein überaus interessantes gedankenexperiment konstruiert.,"['überaus', 'ein', 'interessantes', 'konstruiert', 'gedankenexperiment']","['ein', 'überaus', 'interessantes', 'Gedankenexperiment', 'konstruiert']","['ein', 'überaus', 'interessantes', 'Gedankenexperiment', 'konstruiert', '.']","['einen', 'überaus', 'interessant', 'Gedankenexperiment', 'konstruieren', '.']","['DET', 'ADV', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",einen überaus interessant Gedankenexperiment konstruieren .,DET ADV ADJ NOUN VERB PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,6,"0:0:28,0","0:0:29,625",Schrödingers Katze.,schrödingers katze.,"['katze', 'schrödingers']","['Schrödingers', 'Katze']","['Schrödingers', 'Katze', '.']","['Schrödingers', 'Katze', '.']","['PROPN', 'NOUN', 'PUNCT']",Schrödingers Katze .,PROPN NOUN PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,7,"0:0:30,917","0:0:34,83","Eine Katze wird in eine Stahlkammer gesperrt,","eine katze wird in eine stahlkammer gesperrt,","['gesperrt', 'stahlkammer', 'katze', 'eine', 'wird', 'in']","['Eine', 'Katze', 'wird', 'in', 'eine', 'Stahlkammer', 'gesperrt']","['Eine', 'Katze', 'wird', 'in', 'eine', 'Stahlkammer', 'gesperrt', ',']","['Eine', 'Katze', 'werden', 'in', 'einen', 'Stahlkammer', 'sperren', ',']","['DET', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']","Eine Katze werden in einen Stahlkammer sperren ,",DET NOUN AUX ADP DET NOUN VERB PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,8,"0:0:34,167","0:0:37,875","mit ihr eine winzige Menge einer radioaktiven Substanz,","mit ihr eine winzige menge einer radioaktiven substanz,","['substanz', 'winzige', 'eine', 'menge', 'einer', 'radioaktiven', 'ihr', 'mit']","['mit', 'ihr', 'eine', 'winzige', 'Menge', 'einer', 'radioaktiven', 'Substanz']","['mit', 'ihr', 'eine', 'winzige', 'Menge', 'einer', 'radioaktiven', 'Substanz', ',']","['mit', 'mein', 'einen', 'winzige', 'Menge', 'einer', 'radioaktiv', 'Substanz', ',']","['ADP', 'PRON', 'DET', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'PUNCT']","mit mein einen winzige Menge einer radioaktiv Substanz ,",ADP PRON DET ADJ NOUN DET ADJ NOUN PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,9,"0:0:38,0","0:0:41,792","ein Geigerzähler, eine Giftampulle und ein Hammer.","ein geigerzähler, eine giftampulle und ein hammer.","['hammer', 'geigerzähler', 'ein', 'eine', 'und', 'giftampulle']","['ein', 'Geigerzähler', 'eine', 'Giftampulle', 'und', 'ein', 'Hammer']","['ein', 'Geigerzähler', ',', 'eine', 'Giftampulle', 'und', 'ein', 'Hammer', '.']","['einen', 'Geigerzähler', ',', 'einen', 'Giftampulle', 'und', 'einen', 'Hammer', '.']","['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT']","einen Geigerzähler , einen Giftampulle und einen Hammer .",DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT
Dark__S03E07.srt,Dark,Dark S03,Dark E07,10,"0:0:43,250","0:0:47,167","Sobald ein radioaktives Atom im Inneren der Stahlkammer zerfällt,","sobald ein radioaktives atom im inneren der stahlkammer zerfällt,","['stahlkammer', 'zerfällt', 'der', 'im', 'ein', 'sobald', 'atom', 'inneren', 'radioaktives']","['Sobald', 'ein', 'radioaktives', 'Atom', 'im', 'Inneren', 'der', 'Stahlkammer', 'zerfällt']","['Sobald', 'ein', 'radioaktives', 'Atom', 'im', 'Inneren', 'der', 'Stahlkammer', 'zerfällt', ',']","['sobald', 'einen', 'radioaktiv', 'Atom', 'im', 'Innere', 'der', 'Stahlkammer', 'zerfallen', ',']","['SCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","sobald einen radioaktiv Atom im Innere der Stahlkammer zerfallen ,",SCONJ DET ADJ NOUN ADP NOUN DET NOUN VERB PUNCT
