Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,2,"0:0:17,160","0:0:18,400","Bisher bei ""Babylon Berlin"",","bisher bei ""babylon berlin"",","['bei', 'babylon', 'bisher', 'berlin']","['Bisher', 'bei', 'Babylon', 'Berlin']","['Bisher', 'bei', '""', 'Babylon', 'Berlin', '""', ',']","['Bisher', 'bei', '""', 'Babylon', 'Berlin', '""', ',']","['ADV', 'ADP', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']","Bisher bei "" Babylon Berlin "" ,",ADV ADP PUNCT PROPN PROPN PUNCT PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,3,"0:0:18,480","0:0:20,360",Was weißt du über das Gold in dem Zug?,was weißt du über das gold in dem zug?,"['gold', 'was', 'dem', 'das', 'weißt', 'du', 'in', 'über', 'zug']","['Was', 'weißt', 'du', 'über', 'das', 'Gold', 'in', 'dem', 'Zug']","['Was', 'weißt', 'du', 'über', 'das', 'Gold', 'in', 'dem', 'Zug', '?']","['Was', 'wissen', 'du', 'über', 'der', 'Gold', 'in', 'der', 'Zug', '?']","['PRON', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",Was wissen du über der Gold in der Zug ?,PRON VERB PRON ADP DET NOUN ADP DET NOUN PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,4,"0:0:20,440","0:0:21,760",Ich weiß nichts.,ich weiß nichts.,"['nichts', 'ich', 'weiß']","['Ich', 'weiß', 'nichts']","['Ich', 'weiß', 'nichts', '.']","['Ich', 'weiß', 'nichts', '.']","['PRON', 'VERB', 'PRON', 'PUNCT']",Ich weiß nichts .,PRON VERB PRON PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,5,"0:0:22,520","0:0:27,200","Ich weiß nichts! Bitte nicht, bitte nicht zurück in die Kälte! Bitte nicht!","ich weiß nichts! bitte nicht, bitte nicht zurück in die kälte! bitte nicht!","['zurück', 'weiß', 'bitte', 'die', 'kälte', 'nichts', 'in', 'nicht', 'ich']","['Ich', 'weiß', 'nichts', 'Bitte', 'nicht', 'bitte', 'nicht', 'zurück', 'in', 'die', 'Kälte', 'Bitte', 'nicht']","['Ich', 'weiß', 'nichts', '!', 'Bitte', 'nicht', ',', 'bitte', 'nicht', 'zurück', 'in', 'die', 'Kälte', '!', 'Bitte', 'nicht', '!']","['Ich', 'weiß', 'nichts', '!', 'Bitte', 'nicht', ',', 'bitte', 'nicht', 'zurück', 'in', 'der', 'Kälte', '!', 'Bitte', 'nicht', '!']","['PRON', 'VERB', 'PRON', 'PUNCT', 'ADV', 'PART', 'PUNCT', 'ADV', 'PART', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADV', 'PART', 'PUNCT']","Ich weiß nichts ! Bitte nicht , bitte nicht zurück in der Kälte ! Bitte nicht !",PRON VERB PRON PUNCT ADV PART PUNCT ADV PART ADV ADP DET NOUN PUNCT ADV PART PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,6,"0:0:27,800","0:0:28,880","""29.04.","""29.04.",['29.04.'],['29.04.'],"['""', '29.04.']","['""', '29.04.']","['PUNCT', 'PUNCT']",""" 29.04.",PUNCT PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,7,"0:0:29,280","0:0:32,760","Mehrfach fällt das Stichwort Prangertag für eine Geheimoperation.""","mehrfach fällt das stichwort prangertag für eine geheimoperation.""","['geheimoperation', 'für', 'das', 'mehrfach', 'eine', 'stichwort', 'fällt', 'prangertag']","['Mehrfach', 'fällt', 'das', 'Stichwort', 'Prangertag', 'für', 'eine', 'Geheimoperation']","['Mehrfach', 'fällt', 'das', 'Stichwort', 'Prangertag', 'für', 'eine', 'Geheimoperation', '.', '""']","['Mehrfach', 'fällen', 'der', 'Stichwort', 'Prangertag', 'für', 'einen', 'Geheimoperation', '.', '""']","['PROPN', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT']","Mehrfach fällen der Stichwort Prangertag für einen Geheimoperation . """,PROPN VERB DET NOUN NOUN ADP DET NOUN PUNCT PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,8,"0:0:32,840","0:0:34,520",Wir erstatten Strafanzeige,wir erstatten strafanzeige,"['erstatten', 'wir', 'strafanzeige']","['Wir', 'erstatten', 'Strafanzeige']","['Wir', 'erstatten', 'Strafanzeige']","['ich', 'erstatten', 'Strafanzeige']","['PRON', 'VERB', 'NOUN']",ich erstatten Strafanzeige,PRON VERB NOUN
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,9,"0:0:34,600","0:0:37,320",gegen die Mitglieder des Generalstabs der Reichswehr.,gegen die mitglieder des generalstabs der reichswehr.,"['reichswehr', 'der', 'des', 'die', 'gegen', 'generalstabs', 'mitglieder']","['gegen', 'die', 'Mitglieder', 'des', 'Generalstabs', 'der', 'Reichswehr']","['gegen', 'die', 'Mitglieder', 'des', 'Generalstabs', 'der', 'Reichswehr', '.']","['gegen', 'der', 'Mitglied', 'der', 'Generalstabs', 'der', 'Reichswehr', '.']","['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']",gegen der Mitglied der Generalstabs der Reichswehr .,ADP DET NOUN DET NOUN DET NOUN PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,10,"0:0:37,400","0:0:41,400",Hier wird in großem Stil eine deutsche Schattenstreitkraft aufgebaut.,hier wird in großem stil eine deutsche schattenstreitkraft aufgebaut.,"['deutsche', 'stil', 'hier', 'eine', 'aufgebaut', 'wird', 'großem', 'in', 'schattenstreitkraft']","['Hier', 'wird', 'in', 'großem', 'Stil', 'eine', 'deutsche', 'Schattenstreitkraft', 'aufgebaut']","['Hier', 'wird', 'in', 'großem', 'Stil', 'eine', 'deutsche', 'Schattenstreitkraft', 'aufgebaut', '.']","['Hier', 'werden', 'in', 'groß', 'Stil', 'einen', 'deutsch', 'Schattenstreitkraft', 'aufbauen', '.']","['ADV', 'AUX', 'ADP', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",Hier werden in groß Stil einen deutsch Schattenstreitkraft aufbauen .,ADV AUX ADP ADJ NOUN DET ADJ NOUN VERB PUNCT
Babylon_Berlin__S02E06.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E06,11,"0:0:41,480","0:0:42,600",Die schwarze Reichswehr,die schwarze reichswehr,"['reichswehr', 'schwarze', 'die']","['Die', 'schwarze', 'Reichswehr']","['Die', 'schwarze', 'Reichswehr']","['der', 'schwarze', 'Reichswehr']","['DET', 'ADJ', 'NOUN']",der schwarze Reichswehr,DET ADJ NOUN
