Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,2,"0:0:8,800","0:0:9,960","Bisher bei Babylon Berlin,","bisher bei babylon berlin,","['bei', 'babylon', 'bisher', 'berlin']","['Bisher', 'bei', 'Babylon', 'Berlin']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['ADV', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","Bisher bei Babylon Berlin ,",ADV ADP PROPN PROPN PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,3,"0:0:11,640","0:0:14,640","Sollte sich herausstellen, dass wir es beim Tod von Betty Winter","sollte sich herausstellen, dass wir es beim tod von betty winter","['betty', 'tod', 'wir', 'sollte', 'herausstellen', 'sich', 'beim', 'dass', 'winter', 'von', 'es']","['Sollte', 'sich', 'herausstellen', 'dass', 'wir', 'es', 'beim', 'Tod', 'von', 'Betty', 'Winter']","['Sollte', 'sich', 'herausstellen', ',', 'dass', 'wir', 'es', 'beim', 'Tod', 'von', 'Betty', 'Winter']","['sollen', 'sich', 'herausstellen', ',', 'dass', 'ich', 'ich', 'beim', 'Tod', 'von', 'Betty', 'Winter']","['AUX', 'PRON', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN']","sollen sich herausstellen , dass ich ich beim Tod von Betty Winter",AUX PRON VERB PUNCT SCONJ PRON PRON ADP NOUN ADP NOUN PROPN
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,4,"0:0:14,720","0:0:18,400","mit einem Mord zu tun haben, so wird die Allianz keinen Pfennig erstatten.","mit einem mord zu tun haben, so wird die allianz keinen pfennig erstatten.","['so', 'keinen', 'tun', 'die', 'haben', 'wird', 'allianz', 'mord', 'zu', 'erstatten', 'mit', 'einem', 'pfennig']","['mit', 'einem', 'Mord', 'zu', 'tun', 'haben', 'so', 'wird', 'die', 'Allianz', 'keinen', 'Pfennig', 'erstatten']","['mit', 'einem', 'Mord', 'zu', 'tun', 'haben', ',', 'so', 'wird', 'die', 'Allianz', 'keinen', 'Pfennig', 'erstatten', '.']","['mit', 'einer', 'Mord', 'zu', 'tun', 'haben', ',', 'so', 'werden', 'der', 'Allianz', 'kein', 'Pfennig', 'erstatten', '.']","['ADP', 'DET', 'NOUN', 'PART', 'VERB', 'AUX', 'PUNCT', 'ADV', 'AUX', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","mit einer Mord zu tun haben , so werden der Allianz kein Pfennig erstatten .",ADP DET NOUN PART VERB AUX PUNCT ADV AUX DET NOUN DET NOUN VERB PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,5,"0:0:18,480","0:0:20,840","Ich will diesen Film retten, verstehst du?","ich will diesen film retten, verstehst du?","['du', 'diesen', 'will', 'retten', 'film', 'ich', 'verstehst']","['Ich', 'will', 'diesen', 'Film', 'retten', 'verstehst', 'du']","['Ich', 'will', 'diesen', 'Film', 'retten', ',', 'verstehst', 'du', '?']","['Ich', 'wollen', 'dies', 'Film', 'retten', ',', 'verstehen', 'du', '?']","['PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'PRON', 'PUNCT']","Ich wollen dies Film retten , verstehen du ?",PRON AUX DET NOUN VERB PUNCT VERB PRON PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,6,"0:0:22,240","0:0:24,680","Du weißt ganz genau, dass Edgar das niemals zulassen würde.","du weißt ganz genau, dass edgar das niemals zulassen würde.","['das', 'ganz', 'du', 'weißt', 'zulassen', 'würde', 'dass', 'genau', 'niemals', 'edgar']","['Du', 'weißt', 'ganz', 'genau', 'dass', 'Edgar', 'das', 'niemals', 'zulassen', 'würde']","['Du', 'weißt', 'ganz', 'genau', ',', 'dass', 'Edgar', 'das', 'niemals', 'zulassen', 'würde', '.']","['Du', 'wissen', 'ganz', 'genau', ',', 'dass', 'Edgar', 'der', 'niemals', 'zulassen', 'werden', '.']","['PRON', 'VERB', 'ADV', 'ADV', 'PUNCT', 'SCONJ', 'PROPN', 'PRON', 'ADV', 'VERB', 'AUX', 'PUNCT']","Du wissen ganz genau , dass Edgar der niemals zulassen werden .",PRON VERB ADV ADV PUNCT SCONJ PROPN PRON ADV VERB AUX PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,7,"0:0:24,760","0:0:26,440",Aber warum denn?,aber warum denn?,"['warum', 'aber', 'denn']","['Aber', 'warum', 'denn']","['Aber', 'warum', 'denn', '?']","['aber', 'warum', 'denn', '?']","['CCONJ', 'ADV', 'ADV', 'PUNCT']",aber warum denn ?,CCONJ ADV ADV PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,8,"0:0:28,400","0:0:29,560",Um dich zu schützen.,um dich zu schützen.,"['zu', 'um', 'schützen', 'dich']","['Um', 'dich', 'zu', 'schützen']","['Um', 'dich', 'zu', 'schützen', '.']","['um', 'sich', 'zu', 'schützen', '.']","['SCONJ', 'PRON', 'PART', 'VERB', 'PUNCT']",um sich zu schützen .,SCONJ PRON PART VERB PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,9,"0:0:42,400","0:0:45,280",...untersuchen wir die Schnittstelle,...untersuchen wir die schnittstelle,"['die', 'untersuchen', 'wir', 'schnittstelle']","['untersuchen', 'wir', 'die', 'Schnittstelle']","['...', 'untersuchen', 'wir', 'die', 'Schnittstelle']","['...', 'untersuchen', 'ich', 'der', 'Schnittstelle']","['PUNCT', 'VERB', 'PRON', 'DET', 'NOUN']",... untersuchen ich der Schnittstelle,PUNCT VERB PRON DET NOUN
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,10,"0:0:45,360","0:0:47,640",zwischen Natur und Geisteswissenschaft.,zwischen natur und geisteswissenschaft.,"['geisteswissenschaft', 'und', 'natur', 'zwischen']","['zwischen', 'Natur', 'und', 'Geisteswissenschaft']","['zwischen', 'Natur', 'und', 'Geisteswissenschaft', '.']","['zwischen', 'Natur', 'und', 'Geisteswissenschaft', '.']","['ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']",zwischen Natur und Geisteswissenschaft .,ADP NOUN CCONJ NOUN PUNCT
Babylon_Berlin__S03E09.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E09,11,"0:0:48,880","0:0:53,880",Nach den fundamentalen Zerrüttungen von Körper und Seele nach dem Großen Krieg,nach den fundamentalen zerrüttungen von körper und seele nach dem großen krieg,"['dem', 'großen', 'zerrüttungen', 'krieg', 'seele', 'körper', 'den', 'fundamentalen', 'und', 'nach', 'von']","['Nach', 'den', 'fundamentalen', 'Zerrüttungen', 'von', 'Körper', 'und', 'Seele', 'nach', 'dem', 'Großen', 'Krieg']","['Nach', 'den', 'fundamentalen', 'Zerrüttungen', 'von', 'Körper', 'und', 'Seele', 'nach', 'dem', 'Großen', 'Krieg']","['Nach', 'der', 'fundamental', 'Zerrüttungen', 'von', 'Körper', 'und', 'Seele', 'nach', 'der', 'Großen', 'Krieg']","['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']",Nach der fundamental Zerrüttungen von Körper und Seele nach der Großen Krieg,ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADP DET ADJ NOUN
