Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,2,"0:0:8,800","0:0:10,240","Bisher bei Babylon Berlin,","bisher bei babylon berlin,","['bei', 'babylon', 'bisher', 'berlin']","['Bisher', 'bei', 'Babylon', 'Berlin']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['ADV', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","Bisher bei Babylon Berlin ,",ADV ADP PROPN PROPN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,3,"0:0:10,320","0:0:12,920","Ist das der, den Sie unter Fritz Höckert kennengelernt haben?","ist das der, den sie unter fritz höckert kennengelernt haben?","['sie', 'das', 'ist', 'der', 'unter', 'fritz', 'den', 'höckert', 'haben', 'kennengelernt']","['Ist', 'das', 'der', 'den', 'Sie', 'unter', 'Fritz', 'Höckert', 'kennengelernt', 'haben']","['Ist', 'das', 'der', ',', 'den', 'Sie', 'unter', 'Fritz', 'Höckert', 'kennengelernt', 'haben', '?']","['sein', 'der', 'der', ',', 'der', 'ich', 'unter', 'Fritz', 'Höckert', 'kennenlernen', 'haben', '?']","['AUX', 'PRON', 'PRON', 'PUNCT', 'PRON', 'PRON', 'ADP', 'PROPN', 'PROPN', 'VERB', 'AUX', 'PUNCT']","sein der der , der ich unter Fritz Höckert kennenlernen haben ?",AUX PRON PRON PUNCT PRON PRON ADP PROPN PROPN VERB AUX PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,4,"0:0:13,0","0:0:15,240","Nein, er ist es nicht. Das kann nicht sein.","nein, er ist es nicht. das kann nicht sein.","['sein', 'nein', 'ist', 'das', 'nicht', 'kann', 'er', 'es']","['Nein', 'er', 'ist', 'es', 'nicht', 'Das', 'kann', 'nicht', 'sein']","['Nein', ',', 'er', 'ist', 'es', 'nicht', '.', 'Das', 'kann', 'nicht', 'sein', '.']","['Nein', ',', 'ich', 'sein', 'ich', 'nicht', '.', 'der', 'können', 'nicht', 'mein', '.']","['PART', 'PUNCT', 'PRON', 'AUX', 'PRON', 'PART', 'PUNCT', 'PRON', 'AUX', 'PART', 'AUX', 'PUNCT']","Nein , ich sein ich nicht . der können nicht mein .",PART PUNCT PRON AUX PRON PART PUNCT PRON AUX PART AUX PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,5,"0:0:17,200","0:0:19,240",Vera! Lotti.,vera! lotti.,"['vera', 'lotti']","['Vera', 'Lotti']","['Vera', '!', 'Lotti', '.']","['Vera', '!', 'Lotti', '.']","['PROPN', 'PUNCT', 'PROPN', 'PUNCT']",Vera ! Lotti .,PROPN PUNCT PROPN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,6,"0:0:19,320","0:0:21,160","Ruft einen Arzt, schnell!","ruft einen arzt, schnell!","['schnell', 'arzt', 'einen', 'ruft']","['Ruft', 'einen', 'Arzt', 'schnell']","['Ruft', 'einen', 'Arzt', ',', 'schnell', '!']","['Ruft', 'ein', 'Arzt', ',', 'schnellen', '!']","['VERB', 'DET', 'NOUN', 'PUNCT', 'ADV', 'PUNCT']","Ruft ein Arzt , schnellen !",VERB DET NOUN PUNCT ADV PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,8,"0:0:54,80","0:0:55,320",Pechtmann?,pechtmann?,['pechtmann'],['Pechtmann'],"['Pechtmann', '?']","['Pechtmann', '?']","['PROPN', 'PUNCT']",Pechtmann ?,PROPN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,9,"0:0:55,400","0:0:56,440",Herr Oberst.,herr oberst.,"['herr', 'oberst']","['Herr', 'Oberst']","['Herr', 'Oberst', '.']","['Herr', 'Oberst', '.']","['NOUN', 'NOUN', 'PUNCT']",Herr Oberst .,NOUN NOUN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,10,"0:0:58,640","0:0:59,960",Was machen Sie hier?,was machen sie hier?,"['machen', 'was', 'sie', 'hier']","['Was', 'machen', 'Sie', 'hier']","['Was', 'machen', 'Sie', 'hier', '?']","['Was', 'machen', 'ich', 'hier', '?']","['PRON', 'VERB', 'PRON', 'ADV', 'PUNCT']",Was machen ich hier ?,PRON VERB PRON ADV PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,11,"0:1:0,240","0:1:3,480","Tut mir leid, aber bei mir ist 'n Bulle aufgetaucht. Hat mich mitgenommen.","tut mir leid, aber bei mir ist 'n bulle aufgetaucht. hat mich mitgenommen.","['mich', 'mitgenommen', 'mir', 'ist', ""'n"", 'aufgetaucht', 'aber', 'bei', 'leid', 'bulle', 'tut', 'hat']","['Tut', 'mir', 'leid', 'aber', 'bei', 'mir', 'ist', ""'n"", 'Bulle', 'aufgetaucht', 'Hat', 'mich', 'mitgenommen']","['Tut', 'mir', 'leid', ',', 'aber', 'bei', 'mir', 'ist', ""'n"", 'Bulle', 'aufgetaucht', '.', 'Hat', 'mich', 'mitgenommen', '.']","['Tut', 'sich', 'leid', ',', 'aber', 'bei', 'sich', 'sein', ""'n"", 'Bulle', 'auftauchen', '.', 'haben', 'sich', 'mitnehmen', '.']","['PROPN', 'PRON', 'ADV', 'PUNCT', 'CCONJ', 'ADP', 'PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'PUNCT', 'AUX', 'PRON', 'VERB', 'PUNCT']","Tut sich leid , aber bei sich sein 'n Bulle auftauchen . haben sich mitnehmen .",PROPN PRON ADV PUNCT CCONJ ADP PRON AUX DET NOUN VERB PUNCT AUX PRON VERB PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,12,"0:1:4,840","0:1:7,520","Hat er seinen Namen genannt? Äh, Rath.","hat er seinen namen genannt? äh, rath.","['seinen', 'äh', 'genannt', 'namen', 'er', 'hat', 'rath']","['Hat', 'er', 'seinen', 'Namen', 'genannt', 'Äh', 'Rath']","['Hat', 'er', 'seinen', 'Namen', 'genannt', '?', 'Äh', ',', 'Rath', '.']","['haben', 'ich', 'seinen', 'Name', 'nennen', '?', 'Äh', ',', 'Rath', '.']","['AUX', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']","haben ich seinen Name nennen ? Äh , Rath .",AUX PRON DET NOUN VERB PUNCT PROPN PUNCT PROPN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,13,"0:1:8,440","0:1:13,80","Der hat mich mit zum Alex genommen, na ja und dann, dann haben sie das Mädel geholt.","der hat mich mit zum alex genommen, na ja und dann, dann haben sie das mädel geholt.","['mich', 'mädel', 'sie', 'das', 'der', 'ja', 'dann', 'haben', 'na', 'genommen', 'geholt', 'alex', 'und', 'mit', 'hat', 'zum']","['Der', 'hat', 'mich', 'mit', 'zum', 'Alex', 'genommen', 'na', 'ja', 'und', 'dann', 'dann', 'haben', 'sie', 'das', 'Mädel', 'geholt']","['Der', 'hat', 'mich', 'mit', 'zum', 'Alex', 'genommen', ',', 'na', 'ja', 'und', 'dann', ',', 'dann', 'haben', 'sie', 'das', 'Mädel', 'geholt', '.']","['der', 'haben', 'sich', 'mit', 'zum', 'Alex', 'nehmen', ',', 'na', 'ja', 'und', 'dann', ',', 'dann', 'haben', 'ich', 'der', 'Mädel', 'holen', '.']","['PRON', 'AUX', 'PRON', 'ADP', 'ADP', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'ADV', 'CCONJ', 'ADV', 'PUNCT', 'ADV', 'AUX', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']","der haben sich mit zum Alex nehmen , na ja und dann , dann haben ich der Mädel holen .",PRON AUX PRON ADP ADP NOUN VERB PUNCT SCONJ ADV CCONJ ADV PUNCT ADV AUX PRON DET NOUN VERB PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,14,"0:1:14,800","0:1:16,600",Hat sie stillgehalten? Mhm.,hat sie stillgehalten? mhm.,"['sie', 'mhm', 'hat', 'stillgehalten']","['Hat', 'sie', 'stillgehalten', 'Mhm']","['Hat', 'sie', 'stillgehalten', '?', 'Mhm', '.']","['haben', 'ich', 'stillgehalten', '?', 'Mhm', '.']","['AUX', 'PRON', 'VERB', 'PUNCT', 'PROPN', 'PUNCT']",haben ich stillgehalten ? Mhm .,AUX PRON VERB PUNCT PROPN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,15,"0:1:23,440","0:1:25,240","Das Problem ist ja, die kennen meinen Namen.","das problem ist ja, die kennen meinen namen.","['kennen', 'ist', 'das', 'ja', 'die', 'namen', 'problem', 'meinen']","['Das', 'Problem', 'ist', 'ja', 'die', 'kennen', 'meinen', 'Namen']","['Das', 'Problem', 'ist', 'ja', ',', 'die', 'kennen', 'meinen', 'Namen', '.']","['der', 'Problem', 'sein', 'ja', ',', 'der', 'kennen', 'mein', 'Name', '.']","['DET', 'NOUN', 'AUX', 'ADV', 'PUNCT', 'DET', 'ADJ', 'DET', 'NOUN', 'PUNCT']","der Problem sein ja , der kennen mein Name .",DET NOUN AUX ADV PUNCT DET ADJ DET NOUN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,16,"0:1:26,720","0:1:28,640","Da frag ich mich natürlich, woher.","da frag ich mich natürlich, woher.","['mich', 'frag', 'da', 'woher', 'natürlich', 'ich']","['Da', 'frag', 'ich', 'mich', 'natürlich', 'woher']","['Da', 'frag', 'ich', 'mich', 'natürlich', ',', 'woher', '.']","['da', 'frag', 'ich', 'sich', 'natürlich', ',', 'woher', '.']","['ADV', 'VERB', 'PRON', 'PRON', 'ADV', 'PUNCT', 'SCONJ', 'PUNCT']","da frag ich sich natürlich , woher .",ADV VERB PRON PRON ADV PUNCT SCONJ PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,17,"0:1:30,80","0:1:33,480","Wenn die meinen Namen kennen, dann kommen die auch irgendwann auf Sie.","wenn die meinen namen kennen, dann kommen die auch irgendwann auf sie.","['kennen', 'irgendwann', 'sie', 'auch', 'wenn', 'die', 'dann', 'namen', 'kommen', 'auf', 'meinen']","['Wenn', 'die', 'meinen', 'Namen', 'kennen', 'dann', 'kommen', 'die', 'auch', 'irgendwann', 'auf', 'Sie']","['Wenn', 'die', 'meinen', 'Namen', 'kennen', ',', 'dann', 'kommen', 'die', 'auch', 'irgendwann', 'auf', 'Sie', '.']","['Wenn', 'der', 'mein', 'Name', 'kennen', ',', 'dann', 'kommen', 'der', 'auch', 'irgendwann', 'auf', 'ich', '.']","['SCONJ', 'DET', 'DET', 'NOUN', 'VERB', 'PUNCT', 'ADV', 'VERB', 'PRON', 'ADV', 'ADV', 'ADP', 'PRON', 'PUNCT']","Wenn der mein Name kennen , dann kommen der auch irgendwann auf ich .",SCONJ DET DET NOUN VERB PUNCT ADV VERB PRON ADV ADV ADP PRON PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,18,"0:1:35,920","0:1:37,440",Wenn die das Ganze aufrollen?,wenn die das ganze aufrollen?,"['das', 'wenn', 'aufrollen', 'die', 'ganze']","['Wenn', 'die', 'das', 'Ganze', 'aufrollen']","['Wenn', 'die', 'das', 'Ganze', 'aufrollen', '?']","['Wenn', 'der', 'der', 'ganz', 'aufrollen', '?']","['SCONJ', 'DET', 'DET', 'NOUN', 'VERB', 'PUNCT']",Wenn der der ganz aufrollen ?,SCONJ DET DET NOUN VERB PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,19,"0:1:40,600","0:1:42,40",Was willst du?,was willst du?,"['du', 'willst', 'was']","['Was', 'willst', 'du']","['Was', 'willst', 'du', '?']","['Was', 'wollen', 'du', '?']","['PRON', 'VERB', 'PRON', 'PUNCT']",Was wollen du ?,PRON VERB PRON PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,20,"0:1:43,480","0:1:45,640","Dachte, wenn ich schon jemanden kenne in dem Laden,","dachte, wenn ich schon jemanden kenne in dem laden,","['jemanden', 'dem', 'wenn', 'schon', 'kenne', 'laden', 'in', 'dachte', 'ich']","['Dachte', 'wenn', 'ich', 'schon', 'jemanden', 'kenne', 'in', 'dem', 'Laden']","['Dachte', ',', 'wenn', 'ich', 'schon', 'jemanden', 'kenne', 'in', 'dem', 'Laden', ',']","['Dachte', ',', 'wenn', 'ich', 'schon', 'jemand', 'kennen', 'in', 'der', 'Lade', ',']","['NOUN', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","Dachte , wenn ich schon jemand kennen in der Lade ,",NOUN PUNCT SCONJ PRON ADV PRON VERB ADP DET NOUN PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,21,"0:1:45,720","0:1:48,840","der mir 'nen Gefallen schuldig ist, dann frag ich den mal nach so was.","der mir 'nen gefallen schuldig ist, dann frag ich den mal nach so was.","['mal', 'nach', ""'nen"", 'mir', 'frag', 'ist', 'so', 'der', 'was', 'gefallen', 'dann', 'den', 'schuldig', 'ich']","['der', 'mir', ""'nen"", 'Gefallen', 'schuldig', 'ist', 'dann', 'frag', 'ich', 'den', 'mal', 'nach', 'so', 'was']","['der', 'mir', ""'nen"", 'Gefallen', 'schuldig', 'ist', ',', 'dann', 'frag', 'ich', 'den', 'mal', 'nach', 'so', 'was', '.']","['der', 'sich', ""'nen"", 'Gefallen', 'schuldig', 'sein', ',', 'dann', 'frag', 'ich', 'der', 'mal', 'nach', 'so', 'was', '.']","['PRON', 'PRON', 'DET', 'NOUN', 'ADV', 'AUX', 'PUNCT', 'ADV', 'VERB', 'PRON', 'PRON', 'ADV', 'ADP', 'ADV', 'PRON', 'PUNCT']","der sich 'nen Gefallen schuldig sein , dann frag ich der mal nach so was .",PRON PRON DET NOUN ADV AUX PUNCT ADV VERB PRON PRON ADV ADP ADV PRON PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,22,"0:1:50,960","0:1:53,480",Einen Gefallen? Ja.,einen gefallen? ja.,"['ja', 'einen', 'gefallen']","['Einen', 'Gefallen', 'Ja']","['Einen', 'Gefallen', '?', 'Ja', '.']","['einer', 'Gefallen', '?', 'Ja', '.']","['DET', 'NOUN', 'PUNCT', 'PART', 'PUNCT']",einer Gefallen ? Ja .,DET NOUN PUNCT PART PUNCT
Babylon_Berlin__S03E08.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E08,23,"0:1:55,680","0:1:56,680",Geld?,geld?,['geld'],['Geld'],"['Geld', '?']","['Geld', '?']","['NOUN', 'PUNCT']",Geld ?,NOUN PUNCT
