Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,2,"0:0:17,240","0:0:18,920","Bisher bei ""Babylon Berlin"",","bisher bei ""babylon berlin"",","['bei', 'babylon', 'bisher', 'berlin']","['Bisher', 'bei', 'Babylon', 'Berlin']","['Bisher', 'bei', '""', 'Babylon', 'Berlin', '""', ',']","['Bisher', 'bei', '""', 'Babylon', 'Berlin', '""', ',']","['ADV', 'ADP', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']","Bisher bei "" Babylon Berlin "" ,",ADV ADP PUNCT PROPN PROPN PUNCT PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,3,"0:0:19,0","0:0:21,640","15 exekutierte Revolutionäre der ""Roten Festung"".","15 exekutierte revolutionäre der ""roten festung"".","['roten', 'festung', 'der', 'revolutionäre', '15', 'exekutierte']","['15', 'exekutierte', 'Revolutionäre', 'der', 'Roten', 'Festung']","['15', 'exekutierte', 'Revolutionäre', 'der', '""', 'Roten', 'Festung', '""', '.']","['15', 'exekutieren', 'Revolutionär', 'der', '""', 'Rote', 'Festung', '""', '.']","['NUM', 'ADJ', 'NOUN', 'DET', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']","15 exekutieren Revolutionär der "" Rote Festung "" .",NUM ADJ NOUN DET PUNCT ADJ NOUN PUNCT PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,4,"0:0:23,200","0:0:25,360",Wir haben die Waffen beschlagnahmt.,wir haben die waffen beschlagnahmt.,"['wir', 'beschlagnahmt', 'die', 'haben', 'waffen']","['Wir', 'haben', 'die', 'Waffen', 'beschlagnahmt']","['Wir', 'haben', 'die', 'Waffen', 'beschlagnahmt', '.']","['ich', 'haben', 'der', 'Waffe', 'beschlagnahmen', '.']","['PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'PUNCT']",ich haben der Waffe beschlagnahmen .,PRON AUX DET NOUN VERB PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,5,"0:0:25,440","0:0:27,800",In fast jeder dieser Leichen steckten Geschosse aus deren Pistolen.,in fast jeder dieser leichen steckten geschosse aus deren pistolen.,"['fast', 'steckten', 'dieser', 'aus', 'leichen', 'geschosse', 'deren', 'pistolen', 'in', 'jeder']","['In', 'fast', 'jeder', 'dieser', 'Leichen', 'steckten', 'Geschosse', 'aus', 'deren', 'Pistolen']","['In', 'fast', 'jeder', 'dieser', 'Leichen', 'steckten', 'Geschosse', 'aus', 'deren', 'Pistolen', '.']","['In', 'fast', 'jed', 'dies', 'Leiche', 'stecken', 'Geschosse', 'aus', 'der', 'Pistole', '.']","['ADP', 'ADV', 'PRON', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT']",In fast jed dies Leiche stecken Geschosse aus der Pistole .,ADP ADV PRON DET NOUN VERB NOUN ADP PRON NOUN PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,6,"0:0:27,880","0:0:29,600",Ich will ein Geschäft vorschlagen.,ich will ein geschäft vorschlagen.,"['ein', 'vorschlagen', 'geschäft', 'will', 'ich']","['Ich', 'will', 'ein', 'Geschäft', 'vorschlagen']","['Ich', 'will', 'ein', 'Geschäft', 'vorschlagen', '.']","['Ich', 'wollen', 'einen', 'Geschäft', 'vorschlagen', '.']","['PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'PUNCT']",Ich wollen einen Geschäft vorschlagen .,PRON AUX DET NOUN VERB PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,7,"0:0:29,680","0:0:31,920","Ich will die Namen der Verantwortlichen der Reichswehr,","ich will die namen der verantwortlichen der reichswehr,","['reichswehr', 'der', 'die', 'will', 'namen', 'verantwortlichen', 'ich']","['Ich', 'will', 'die', 'Namen', 'der', 'Verantwortlichen', 'der', 'Reichswehr']","['Ich', 'will', 'die', 'Namen', 'der', 'Verantwortlichen', 'der', 'Reichswehr', ',']","['Ich', 'wollen', 'der', 'Name', 'der', 'Verantwortliche', 'der', 'Reichswehr', ',']","['PRON', 'AUX', 'DET', 'NOUN', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']","Ich wollen der Name der Verantwortliche der Reichswehr ,",PRON AUX DET NOUN DET NOUN DET NOUN PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,8,"0:0:32,0","0:0:34,160",die den Transport des Giftgases organisieren.,die den transport des giftgases organisieren.,"['organisieren', 'giftgases', 'des', 'die', 'den', 'transport']","['die', 'den', 'Transport', 'des', 'Giftgases', 'organisieren']","['die', 'den', 'Transport', 'des', 'Giftgases', 'organisieren', '.']","['der', 'der', 'Transport', 'der', 'Giftgases', 'organisieren', '.']","['DET', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']",der der Transport der Giftgases organisieren .,DET DET NOUN DET NOUN VERB PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,9,"0:0:34,240","0:0:36,880","Sie wollen, dass ich Ihnen Ihre eigenen Landsleute liefere.","sie wollen, dass ich ihnen ihre eigenen landsleute liefere.","['ihre', 'sie', 'landsleute', 'eigenen', 'dass', 'ihnen', 'wollen', 'liefere', 'ich']","['Sie', 'wollen', 'dass', 'ich', 'Ihnen', 'Ihre', 'eigenen', 'Landsleute', 'liefere']","['Sie', 'wollen', ',', 'dass', 'ich', 'Ihnen', 'Ihre', 'eigenen', 'Landsleute', 'liefere', '.']","['ich', 'wollen', ',', 'dass', 'ich', 'ich', 'mein', 'eigen', 'Landsleute', 'liefern', '.']","['PRON', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'PRON', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","ich wollen , dass ich ich mein eigen Landsleute liefern .",PRON VERB PUNCT SCONJ PRON PRON DET ADJ NOUN VERB PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,10,"0:0:36,960","0:0:39,800",Ihre Beschlagnahmung des Zuges erzeugt Spannungen.,ihre beschlagnahmung des zuges erzeugt spannungen.,"['erzeugt', 'ihre', 'beschlagnahmung', 'des', 'zuges', 'spannungen']","['Ihre', 'Beschlagnahmung', 'des', 'Zuges', 'erzeugt', 'Spannungen']","['Ihre', 'Beschlagnahmung', 'des', 'Zuges', 'erzeugt', 'Spannungen', '.']","['mein', 'Beschlagnahmung', 'der', 'Zug', 'erzeugen', 'Spannung', '.']","['DET', 'NOUN', 'DET', 'NOUN', 'VERB', 'NOUN', 'PUNCT']",mein Beschlagnahmung der Zug erzeugen Spannung .,DET NOUN DET NOUN VERB NOUN PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,11,"0:0:39,880","0:0:42,400","Dass ihr Sowjets munter dabei helft,","dass ihr sowjets munter dabei helft,","['helft', 'sowjets', 'dabei', 'dass', 'munter', 'ihr']","['Dass', 'ihr', 'Sowjets', 'munter', 'dabei', 'helft']","['Dass', 'ihr', 'Sowjets', 'munter', 'dabei', 'helft', ',']","['dass', 'mein', 'Sowjet', 'munter', 'dabei', 'helfen', ',']","['SCONJ', 'DET', 'NOUN', 'ADV', 'ADV', 'VERB', 'PUNCT']","dass mein Sowjet munter dabei helfen ,",SCONJ DET NOUN ADV ADV VERB PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,12,"0:0:42,480","0:0:45,840","die Reichswehr illegal hochzuzüchten, das ist eine Sache für sich.","die reichswehr illegal hochzuzüchten, das ist eine sache für sich.","['für', 'reichswehr', 'das', 'ist', 'sich', 'eine', 'die', 'hochzuzüchten', 'sache', 'illegal']","['die', 'Reichswehr', 'illegal', 'hochzuzüchten', 'das', 'ist', 'eine', 'Sache', 'für', 'sich']","['die', 'Reichswehr', 'illegal', 'hochzuzüchten', ',', 'das', 'ist', 'eine', 'Sache', 'für', 'sich', '.']","['der', 'Reichswehr', 'illegal', 'hochzüchten', ',', 'der', 'sein', 'einen', 'Sache', 'für', 'sich', '.']","['DET', 'NOUN', 'ADV', 'VERB', 'PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PRON', 'PUNCT']","der Reichswehr illegal hochzüchten , der sein einen Sache für sich .",DET NOUN ADV VERB PUNCT PRON AUX DET NOUN ADP PRON PUNCT
Babylon_Berlin__S02E03.srt,Babylon Berlin,Babylon Berlin S02,Babylon Berlin E03,13,"0:0:45,920","0:0:48,920","Aber dass selbst unser Staatsoberhaupt nicht davor zurückschreckt,","aber dass selbst unser staatsoberhaupt nicht davor zurückschreckt,","['dass', 'aber', 'davor', 'zurückschreckt', 'unser', 'selbst', 'nicht', 'staatsoberhaupt']","['Aber', 'dass', 'selbst', 'unser', 'Staatsoberhaupt', 'nicht', 'davor', 'zurückschreckt']","['Aber', 'dass', 'selbst', 'unser', 'Staatsoberhaupt', 'nicht', 'davor', 'zurückschreckt', ',']","['aber', 'dass', 'selbst', 'sich', 'Staatsoberhaupt', 'nicht', 'davor', 'zurückschrecken', ',']","['CCONJ', 'SCONJ', 'ADV', 'DET', 'NOUN', 'PART', 'ADV', 'VERB', 'PUNCT']","aber dass selbst sich Staatsoberhaupt nicht davor zurückschrecken ,",CCONJ SCONJ ADV DET NOUN PART ADV VERB PUNCT
